placeholder,excel_sheet_match,excel_cell,pdf_field,pdf_page,pdf_anchor,pdf_bbox,extract_rule,note
[30],MH,F7,subjects.Tiếng Việt.level,4,Tiếng Việt,"185.8,207.9,193.7,222.4",subject_level,
[31],MH,H7,subjects.Tiếng Việt.score,4,Tiếng Việt,"242.2,207.9,256.4,222.4",subject_score,
[32],MH,J7,subjects.Tiếng Việt.comment,4,Tiếng Việt,"277.9,200.2,507.2,230.1",subject_comment,
[33],MH,F8,subjects.Toán.level,4,Toán,"185.8,272.4,193.7,286.9",subject_level,
[34],MH,H8,subjects.Toán.score,4,Toán,"242.2,272.4,256.4,286.9",subject_score,
[35],MH,J8,subjects.Toán.comment,4,Toán,"277.9,264.7,522.3,294.6",subject_comment,
[36],MH,F9,subjects.Ngoại ngữ Tiếng Anh.level,4,Ngoại ngữ 1 / Tiếng Anh,"185.8,336.9,193.7,351.4",subject_level,
[37],MH,H9,subjects.Ngoại ngữ Tiếng Anh.score,4,Ngoại ngữ 1 / Tiếng Anh,,subject_score_blank,
[38],MH,J9,subjects.Ngoại ngữ Tiếng Anh.comment,4,Ngoại ngữ 1 / Tiếng Anh,"277.9,329.3,502.6,359.1",subject_comment,
[39],MH,F10,subjects.Lịch sử và Địa lí.level,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[40],MH,H10,subjects.Lịch sử và Địa lí.score,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[41],MH,J10,subjects.Lịch sử và Địa lí.comment,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[42],MH,F11,subjects.Khoa học.level,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[43],MH,H11,subjects.Khoa học.score,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[44],MH,J11,subjects.Khoa học.comment,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[45],MH,F12,subjects.TH-CN (Công nghệ).level,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[46],MH,H12,subjects.TH-CN (Công nghệ).score,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[47],MH,J12,subjects.TH-CN (Công nghệ).comment,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[48],MH,F13,subjects.TH-CN (Tin học).level,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[49],MH,H13,subjects.TH-CN (Tin học).score,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[50],MH,J13,subjects.TH-CN (Tin học).comment,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[51],MH,F14,subjects.Đạo đức.level,4,Đạo đức,"185.8,401.5,193.7,415.9",subject_level,
[52],MH,J14,subjects.Đạo đức.comment,4,Đạo đức,"277.9,393.8,529.5,423.6",subject_comment,
[53],MH,F15,subjects.TN-XH.level,4,TN-XH,"185.8,466.0,193.7,480.4",subject_level,
[54],MH,J15,subjects.TN-XH.comment,4,TN-XH,"277.9,458.3,528.7,488.1",subject_comment,
[55],MH,F16,subjects.Giáo dục thể chất.level,4,Giáo dục thể chất,"185.8,659.5,193.7,674.0",subject_level,
[56],MH,J16,subjects.Giáo dục thể chất.comment,4,Giáo dục thể chất,"277.9,659.5,519.3,674.0",subject_comment,
[57],MH,F17,subjects.Nghệ thuật (Âm nhạc).level,4,Nghệ thuật / (Âm nhạc),"185.8,530.5,193.7,544.9",subject_level,
[58],MH,J17,subjects.Nghệ thuật (Âm nhạc).comment,4,Nghệ thuật / (Âm nhạc),"277.9,522.8,528.7,552.6",subject_comment,
[59],MH,F18,subjects.Nghệ thuật (Mĩ thuật).level,4,Nghệ thuật / (Mĩ thuật),"185.8,595.0,193.7,609.4",subject_level,
[60],MH,J18,subjects.Nghệ thuật (Mĩ thuật).comment,4,Nghệ thuật / (Mĩ thuật),"277.9,595.0,460.1,609.4",subject_comment,
[61],MH,F19,subjects.Hoạt động trải nghiệm.level,4,Hoạt động trải nghiệm,"185.8,724.0,193.7,738.5",subject_level,
[62],MH,J19,subjects.Hoạt động trải nghiệm.comment,4,Hoạt động trải nghiệm,"277.9,716.3,511.9,746.2",subject_comment,
[63],MH,F20,subjects.Tiếng dân tộc.level,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[64],MH,J20,subjects.Tiếng dân tộc.comment,4,Không có trong PDF mẫu lớp 1,,leave_blank,
[65],MH,G24,qualities.Yêu nước.level,5,Yêu nước,"198.0,133.4,206.0,147.9",quality_level,
[66],MH,G25,qualities.Nhân ái.level,5,Nhân ái,"198.0,171.1,206.0,185.5",quality_level,
[67],MH,G26,qualities.Chăm chỉ.level,5,Chăm chỉ,"198.0,208.7,206.0,223.1",quality_level,
[68],MH,G27,qualities.Trung thực.level,5,Trung thực,"198.0,246.3,206.0,260.8",quality_level,
[69],MH,G28,qualities.Trách nhiệm.level,5,Trách nhiệm,"198.0,283.9,206.0,298.4",quality_level,
[70],MH,J24,qualities_comments,5,Nhận xét phẩm chất,"254.1,178.0,524.6,253.9",comments_block_quality,Gom 5 dòng nhận xét vào vùng merge J24:T28
[71],NL,A1,school,5,Trường :,"62.9,32.8,271.4,47.3",after_colon,
[72],NL,O1,school_year,5,Năm học,"396.2,32.8,507.2,47.3",line_value,
[73],NL,G5,common_competencies.Tự chủ và tự học.level,5,Tự chủ và tự học,"198.0,419.1,206.0,433.6",common_level,
[74],NL,G6,common_competencies.Giao tiếp và hợp tác.level,5,Giao tiếp và hợp tác,"198.0,458.3,206.0,472.7",common_level,
[75],NL,G7,common_competencies.Giải quyết vấn đề và sáng tạo.level,5,Giải quyết vấn đề và sáng tạo,"198.0,505.1,206.0,519.6",common_level,
[76],NL,K5,common_competencies_comments,5,Nhận xét năng lực chung,"254.1,450.6,478.6,495.8",comments_block_common,Gom 3 dòng nhận xét vào K5
[77],NL,G11,specific_competencies.Ngôn ngữ.level,5,Ngôn ngữ,"198.0,624.9,206.0,639.4",specific_level,
[78],NL,G12,specific_competencies.Tính toán.level,5,Tính toán,"198.0,662.6,206.0,677.0",specific_level,
[79],NL,G13,specific_competencies.Khoa học.level,5,Khoa học,"198.0,700.2,206.0,714.7",specific_level,
[80],NL,G14,specific_competencies.Công nghệ.level,5,Không có trong PDF mẫu lớp 1,,leave_blank,
[81],NL,G15,specific_competencies.Tin học.level,5,Không có trong PDF mẫu lớp 1,,leave_blank,
[82],NL,G16,specific_competencies.Thẩm mĩ.level,5,Thẩm mĩ,"198.0,737.8,206.0,752.3",specific_level,
[83],NL,G17,specific_competencies.Thể chất.level,5,Thể chất,"198.0,775.5,206.0,789.9",specific_level,
[84],NL,K12,specific_competencies_comments,5,Nhận xét năng lực đặc thù,"254.1,669.5,480.9,745.4",comments_block_specific,Gom 5 dòng nhận xét vào K12
[85],NL,A21,result,6,4. Đánh giá kết quả giáo dục:,"59.0,29.0,334.2,43.4",after_colon_strip_period,
[86],NL,A23,reward,6,5. Khen thưởng / dòng gạch đầu dòng tiếp theo,"82.1,78.9,267.4,93.4",next_bullet_line,
[87],NL,A29,completion,6,6. Hoàn thành... / dòng gạch đầu dòng tiếp theo,"82.1,140.3,348.0,154.8",next_bullet_line,
[88],NL,K32,sign_date,6,ngày ... tháng ... năm ...,"271.0,174.9,522.5,189.4",regex_date_line,
[89],NL,K40,teacher,6,Tên giáo viên chủ nhiệm,"332.1,329.3,460.7,343.7",name_after_signature,
